Operação,Tipo,No. Invoice,Incoterm,ID País Origem,País Origem,ID País Destino,Local Destino,ID Operador Logístico,Doc. Embarque (AWB / BL),Peso (kg),Volume (cbm),Tipo de serviço,Data da Coleta,Data da Entrega,Prazo Realizado,Prazo Contratado,Status Entrega,Cód. Exceção
Exportação,Marítimo,980760,DDP,BR,Brazil,CN,Shanghai,4090,BL-388389,9105,27,EXPRESS,"sexta-feira, 13 de janeiro de 2023","quinta-feira, 09 de fevereiro de 2023",2,2,No Prazo,
Exportação,Aéreo,980144,CIF,BR,Brazil,US,Los Angeles,1146,AWB-872246,254,1,EXPRESS,"terça-feira, 25 de abril de 2023","quarta-feira, 26 de abril de 2023",2,4,No Prazo,
Exportação,Marítimo,980761,CIF,BR,Brazil,US,New York,1148,BL-671858,8283,47,EXPRESS,"quarta-feira, 13 de dezembro de 2023","terça-feira, 02 de janeiro de 2024",3,5,No Prazo,
Exportação,Aéreo,980436,CIF,BR,Brazil,US,New York,1148,AWB-133326,93,1,STANDARD,"segunda-feira, 30 de outubro de 2023","sábado, 04 de novembro de 2023",2,3,No Prazo,E01
Exportação,Aéreo,980228,FOB,BR,Brazil,GB,London,1147,AWB-343962,3585,12,EXPRESS,"sexta-feira, 17 de fevereiro de 2023","quarta-feira, 22 de fevereiro de 2023",1,1,No Prazo,
Exportação,Marítimo,980033,FOB,BR,Brazil,US,Chicago,4090,BL-688508,7574,22,STANDARD,"domingo, 05 de novembro de 2023","segunda-feira, 04 de dezembro de 2023",1,3,No Prazo,
Exportação,Marítimo,980725,CIF,BR,Brazil,US,Los Angeles,4089,BL-671412,332,1,STANDARD,"quarta-feira, 29 de novembro de 2023","sexta-feira, 15 de dezembro de 2023",2,4,No Prazo,
Exportação,Marítimo,980467,FOB,BR,Brazil,BE,Brussels,4089,BL-717889,469,2,STANDARD,"domingo, 23 de abril de 2023","terça-feira, 16 de maio de 2023",3,3,No Prazo,
Exportação,Marítimo,980786,EXW,BR,Brazil,GB,Manchester,1146,BL-944962,1054,5,STANDARD,"quarta-feira, 04 de janeiro de 2023","sexta-feira, 27 de janeiro de 2023",2,3,No Prazo,E01
Exportação,Aéreo,980442,EXW,BR,Brazil,MX,Mexico City,4089,AWB-456778,337,1,EXPRESS,"domingo, 24 de dezembro de 2023","quarta-feira, 27 de dezembro de 2023",2,2,No Prazo,E03
Exportação,Marítimo,980231,FOB,BR,Brazil,US,Miami,1148,BL-900581,1559,6,STANDARD,"terça-feira, 21 de março de 2023","terça-feira, 18 de abril de 2023",1,1,No Prazo,
Exportação,Marítimo,980106,CIF,BR,Brazil,US,Miami,1147,BL-498382,1762,7,STANDARD,"quarta-feira, 22 de fevereiro de 2023","quarta-feira, 15 de março de 2023",6,3,Atraso,
Exportação,Marítimo,980880,FOB,BR,Brazil,CN,Shanghai,1147,BL-460663,790,2,EXPRESS,"segunda-feira, 03 de julho de 2023","quarta-feira, 02 de agosto de 2023",2,3,No Prazo,
Exportação,Marítimo,980761,FOB,BR,Brazil,IT,Naples,1146,BL-581741,718,2,STANDARD,"segunda-feira, 23 de janeiro de 2023","quarta-feira, 08 de fevereiro de 2023",8,5,Atraso,
Exportação,Marítimo,980095,FOB,BR,Brazil,CL,Santiago,1148,BL-678856,5523,19,STANDARD,"quinta-feira, 13 de julho de 2023","segunda-feira, 31 de julho de 2023",2,4,No Prazo,E02
Exportação,Aéreo,980649,EXW,BR,Brazil,BE,Brussels,1148,AWB-479201,600,3,EXPRESS,"sábado, 18 de novembro de 2023","sábado, 25 de novembro de 2023",6,3,Atraso,E06
Exportação,Marítimo,980088,DDP,BR,Brazil,ES,Barcelona,1148,BL-148050,10456,35,ECONOMY,"quarta-feira, 27 de dezembro de 2023","sexta-feira, 26 de janeiro de 2024",12,6,Atraso,E02
Exportação,Marítimo,980099,EXW,BR,Brazil,CN,Beijing,1148,BL-996865,1925,7,STANDARD,"segunda-feira, 29 de maio de 2023","segunda-feira, 12 de junho de 2023",13,6,Atraso,
Exportação,Marítimo,980408,FOB,BR,Brazil,AR,Córdoba,1148,BL-391476,3717,9,STANDARD,"terça-feira, 21 de fevereiro de 2023","sexta-feira, 17 de março de 2023",3,4,No Prazo,
Exportação,Aéreo,980874,EXW,BR,Brazil,NL,Amsterdam,4089,AWB-482554,628,2,ECONOMY,"quarta-feira, 22 de novembro de 2023","domingo, 26 de novembro de 2023",2,4,No Prazo,
Exportação,Marítimo,980384,CIF,BR,Brazil,CN,Beijing,1147,BL-319684,816,3,ECONOMY,"domingo, 09 de julho de 2023","quarta-feira, 26 de julho de 2023",3,4,No Prazo,E05
Exportação,Aéreo,980740,FOB,BR,Brazil,NL,Utrecht,1147,AWB-816751,126,1,EXPRESS,"quarta-feira, 17 de maio de 2023","segunda-feira, 22 de maio de 2023",4,3,Atraso,
Exportação,Marítimo,980673,EXW,BR,Brazil,AR,Buenos Aires,1146,BL-279451,4202,25,STANDARD,"quarta-feira, 08 de novembro de 2023","quinta-feira, 23 de novembro de 2023",2,3,No Prazo,
Exportação,Marítimo,980191,FOB,BR,Brazil,CN,Tianjin,1146,BL-584714,3418,11,EXPRESS,"sábado, 06 de maio de 2023","terça-feira, 16 de maio de 2023",2,2,No Prazo,
Exportação,Marítimo,980972,CIF,BR,Brazil,CN,Shenzhen,1146,BL-771088,2767,16,STANDARD,"sexta-feira, 19 de maio de 2023","quarta-feira, 07 de junho de 2023",2,4,No Prazo,E01
Exportação,Marítimo,980250,FOB,BR,Brazil,US,Atlanta,4090,BL-817870,1043,4,STANDARD,"sexta-feira, 13 de outubro de 2023","domingo, 19 de novembro de 2023",2,2,No Prazo,
Exportação,Marítimo,980261,CIF,BR,Brazil,NL,Amsterdam,1146,BL-961722,4758,17,STANDARD,"domingo, 29 de janeiro de 2023","sexta-feira, 24 de fevereiro de 2023",3,3,No Prazo,
Exportação,Marítimo,980438,CIF,BR,Brazil,US,New York,1148,BL-380746,6392,23,STANDARD,"domingo, 11 de junho de 2023","domingo, 09 de julho de 2023",2,3,No Prazo,
Exportação,Marítimo,980964,CIF,BR,Brazil,US,New York,1148,BL-694731,994,3,STANDARD,"quarta-feira, 19 de abril de 2023","sexta-feira, 12 de maio de 2023",2,2,No Prazo,
Exportação,Marítimo,980701,EXW,BR,Brazil,DE,Frankfurt,4090,BL-623481,9411,32,EXPRESS,"quarta-feira, 19 de abril de 2023","quinta-feira, 18 de maio de 2023",1,1,No Prazo,E02
Exportação,Marítimo,980500,FOB,BR,Brazil,DE,Munich,4089,BL-249811,298,1,STANDARD,"domingo, 26 de novembro de 2023","sábado, 16 de dezembro de 2023",2,4,No Prazo,
Exportação,Aéreo,980284,DDP,BR,Brazil,CN,Guangzhou,1147,AWB-881177,2456,6,STANDARD,"segunda-feira, 13 de março de 2023","quarta-feira, 15 de março de 2023",1,1,No Prazo,
Exportação,Marítimo,980302,CIF,BR,Brazil,CN,Tianjin,1147,BL-883300,202,1,EXPRESS,"terça-feira, 03 de outubro de 2023","terça-feira, 31 de outubro de 2023",1,1,No Prazo,
Exportação,Marítimo,980953,EXW,BR,Brazil,US,Chicago,1148,BL-711878,1278,7,STANDARD,"terça-feira, 08 de agosto de 2023","segunda-feira, 28 de agosto de 2023",1,1,No Prazo,
Exportação,Marítimo,980259,EXW,BR,Brazil,CA,Vancouver,1147,BL-245051,598,2,EXPRESS,"quarta-feira, 05 de julho de 2023","segunda-feira, 31 de julho de 2023",1,1,No Prazo,
Exportação,Aéreo,980129,EXW,BR,Brazil,US,Chicago,1148,AWB-892495,1311,7,EXPRESS,"domingo, 10 de setembro de 2023","quinta-feira, 14 de setembro de 2023",1,2,No Prazo,
Exportação,Aéreo,980193,FOB,BR,Brazil,FR,Paris,1148,AWB-757924,121,1,EXPRESS,"domingo, 26 de fevereiro de 2023","sexta-feira, 03 de março de 2023",11,6,Atraso,
Exportação,Marítimo,980470,FOB,BR,Brazil,CL,Santiago,4090,BL-725380,18286,71,STANDARD,"sexta-feira, 15 de dezembro de 2023","quinta-feira, 11 de janeiro de 2024",2,4,No Prazo,
Exportação,Aéreo,980429,FOB,BR,Brazil,US,New York,1148,AWB-724834,1260,4,STANDARD,"segunda-feira, 17 de julho de 2023","segunda-feira, 24 de julho de 2023",2,2,No Prazo,
Exportação,Marítimo,980297,DDP,BR,Brazil,ES,Bilbao,1146,BL-680099,2038,12,STANDARD,"quinta-feira, 28 de setembro de 2023","terça-feira, 24 de outubro de 2023",8,5,Atraso,
Exportação,Marítimo,980779,FOB,BR,Brazil,DE,Hamburg,1147,BL-220116,8650,28,STANDARD,"sexta-feira, 15 de dezembro de 2023","segunda-feira, 08 de janeiro de 2024",2,3,No Prazo,
Exportação,Aéreo,980829,DDP,BR,Brazil,CN,Tianjin,1148,AWB-772097,73,1,EXPRESS,"quarta-feira, 17 de maio de 2023","sábado, 20 de maio de 2023",1,1,No Prazo,
Exportação,Marítimo,980343,FOB,BR,Brazil,CL,Valparaíso,1147,BL-555884,1309,3,STANDARD,"segunda-feira, 27 de fevereiro de 2023","quinta-feira, 23 de março de 2023",13,6,Atraso,
Exportação,Marítimo,980047,CIF,BR,Brazil,CN,Beijing,4090,BL-857168,813,4,EXPRESS,"segunda-feira, 21 de agosto de 2023","sábado, 02 de setembro de 2023",2,2,No Prazo,E02
Exportação,Marítimo,981040,FOB,BR,Brazil,GB,Liverpool,1147,BL-624902,755,3,EXPRESS,"segunda-feira, 15 de maio de 2023","sábado, 03 de junho de 2023",1,1,No Prazo,E01
Exportação,Aéreo,980980,DDP,BR,Brazil,JP,Osaka,1146,AWB-211579,447,1,STANDARD,"domingo, 17 de setembro de 2023","domingo, 24 de setembro de 2023",1,2,No Prazo,
Exportação,Marítimo,980566,CIF,BR,Brazil,IT,Naples,1147,BL-738551,4397,11,STANDARD,"sexta-feira, 24 de novembro de 2023","quinta-feira, 28 de dezembro de 2023",2,3,No Prazo,
Exportação,Marítimo,980430,EXW,BR,Brazil,AR,Córdoba,1146,BL-899550,4460,15,STANDARD,"segunda-feira, 20 de março de 2023","terça-feira, 11 de abril de 2023",1,1,No Prazo,
Exportação,Aéreo,981025,CIF,BR,Brazil,ES,Barcelona,4089,AWB-916449,242,1,STANDARD,"quarta-feira, 04 de outubro de 2023","sexta-feira, 06 de outubro de 2023",3,5,No Prazo,
Exportação,Marítimo,980663,FOB,BR,Brazil,DE,Berlin,1148,BL-439902,1405,5,STANDARD,"domingo, 01 de janeiro de 2023","quinta-feira, 02 de fevereiro de 2023",2,2,No Prazo,
Exportação,Aéreo,980165,CIF,BR,Brazil,US,Houston,1146,AWB-480612,397,1,STANDARD,"terça-feira, 10 de janeiro de 2023","quinta-feira, 12 de janeiro de 2023",2,3,No Prazo,
Exportação,Aéreo,980111,FOB,BR,Brazil,IT,Naples,1147,AWB-352572,383,1,STANDARD,"quarta-feira, 03 de maio de 2023","domingo, 07 de maio de 2023",6,3,Atraso,E02
Exportação,Marítimo,980140,CIF,BR,Brazil,CN,Tianjin,1148,BL-867460,454,1,STANDARD,"sexta-feira, 10 de fevereiro de 2023","segunda-feira, 13 de março de 2023",2,4,No Prazo,
Exportação,Aéreo,980832,CIF,BR,Brazil,CN,Shenzhen,1148,AWB-658582,136,1,STANDARD,"domingo, 05 de fevereiro de 2023","quarta-feira, 08 de fevereiro de 2023",1,1,No Prazo,
Exportação,Aéreo,980730,FOB,BR,Brazil,IT,Rome,1148,AWB-598369,3337,18,STANDARD,"terça-feira, 07 de março de 2023","sábado, 11 de março de 2023",1,1,No Prazo,
Exportação,Marítimo,980327,FOB,BR,Brazil,DE,Berlin,1148,BL-653306,963,4,EXPRESS,"domingo, 26 de março de 2023","sexta-feira, 14 de abril de 2023",2,3,No Prazo,
Exportação,Marítimo,981044,FOB,BR,Brazil,US,Chicago,1148,BL-322086,1760,4,STANDARD,"sábado, 05 de agosto de 2023","sábado, 02 de setembro de 2023",2,3,No Prazo,E05
Exportação,Marítimo,980263,EXW,BR,Brazil,NL,Utrecht,4090,BL-847581,4706,20,STANDARD,"quarta-feira, 20 de dezembro de 2023","segunda-feira, 08 de janeiro de 2024",3,3,No Prazo,
Exportação,Aéreo,980746,CIF,BR,Brazil,NL,Amsterdam,4089,AWB-781446,66,1,STANDARD,"segunda-feira, 24 de julho de 2023","domingo, 30 de julho de 2023",8,6,Atraso,
Exportação,Aéreo,980981,FOB,BR,Brazil,US,Miami,1147,AWB-642717,146,1,EXPRESS,"domingo, 13 de agosto de 2023","quinta-feira, 17 de agosto de 2023",3,4,No Prazo,
Exportação,Marítimo,980314,EXW,BR,Brazil,JP,Kobe,1148,BL-335612,1505,4,STANDARD,"sexta-feira, 03 de março de 2023","domingo, 02 de abril de 2023",1,3,No Prazo,E06
Exportação,Marítimo,980083,EXW,BR,Brazil,US,New York,1146,BL-716886,1226,4,STANDARD,"sexta-feira, 23 de junho de 2023","segunda-feira, 24 de julho de 2023",3,4,No Prazo,
Exportação,Marítimo,980288,CIF,BR,Brazil,AR,Córdoba,1148,BL-107540,2171,10,STANDARD,"domingo, 29 de outubro de 2023","sexta-feira, 17 de novembro de 2023",3,5,No Prazo,
